created_at,field1,field2,field3,field4,field5,field6,field7,field8
2025-10-16T10:32:00,root vegetables,other vegetables,whole milk,beverages,sugar,,,
2025-10-16T10:33:00,pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner
2025-10-16T10:34:00,beef,grapes,detergent,,,,,
2025-10-16T10:35:00,pastry,soda,,,,,,
2025-10-16T10:36:00,fruit/vegetable juice,,,,,,,
2025-10-16T10:37:00,canned beer,,,,,,,
2025-10-16T10:38:00,root vegetables,other vegetables,whole milk,dessert,,,,
2025-10-16T10:39:00,citrus fruit,zwieback,newspapers,,,,,
2025-10-16T10:40:00,sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags,,
2025-10-16T10:41:00,tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar
2025-10-16T10:42:00,berries,yogurt,,,,,,
2025-10-16T10:43:00,canned beer,,,,,,,
2025-10-16T10:44:00,butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers
2025-10-16T10:45:00,coffee,,,,,,,
2025-10-16T10:46:00,pastry,bottled water,,,,,,
2025-10-16T10:47:00,rolls/buns,,,,,,,
2025-10-16T10:48:00,misc. beverages,,,,,,,
2025-10-16T10:49:00,root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns
2025-10-16T10:50:00,sausage,rolls/buns,cat food,newspapers,,,,
2025-10-16T10:51:00,canned beer,,,,,,,
2025-10-16T10:52:00,ham,grapes,other vegetables,whole milk,,,,
2025-10-16T10:53:00,turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine
2025-10-16T10:54:00,whole milk,yogurt,processed cheese,pickled vegetables,soda,,,
2025-10-16T10:55:00,whole milk,curd,yogurt,pastry,,,,
2025-10-16T10:56:00,packaged fruit/vegetables,brown bread,canned beer,,,,,
2025-10-16T10:57:00,rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,
2025-10-16T10:58:00,ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,,
2025-10-16T10:59:00,rolls/buns,pastry,sugar,,,,,
2025-10-16T11:00:00,other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,
2025-10-16T11:01:00,sausage,pastry,,,,,,
2025-10-16T11:02:00,sausage,beef,whole milk,,,,,
2025-10-16T11:03:00,frankfurter,tropical fruit,rolls/buns,brown bread,sugar,,,
2025-10-16T11:04:00,rolls/buns,pastry,soda,,,,,
2025-10-16T11:05:00,whole milk,,,,,,,
2025-10-16T11:06:00,curd cheese,coffee,,,,,,
2025-10-16T11:07:00,red/blush wine,newspapers,,,,,,
2025-10-16T11:08:00,sausage,whole milk,curd,,,,,
2025-10-16T11:09:00,tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate
2025-10-16T11:10:00,red/blush wine,,,,,,,
2025-10-16T11:11:00,whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),
2025-10-16T11:12:00,frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers
2025-10-16T11:13:00,whole milk,meat spreads,soda,,,,,
2025-10-16T11:14:00,frozen potato products,,,,,,,
2025-10-16T11:15:00,other vegetables,whole milk,rolls/buns,sugar,,,,
2025-10-16T11:16:00,citrus fruit,whole milk,curd,butter milk,pastry,,,
2025-10-16T11:17:00,flour,salt,bottled water,fruit/vegetable juice,bottled beer,,,
2025-10-16T11:18:00,sugar,bottled water,soda,bottled beer,,,,
2025-10-16T11:19:00,frozen meals,coffee,,,,,,
2025-10-16T11:20:00,chocolate,,,,,,,
2025-10-16T11:21:00,root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables
2025-10-16T11:22:00,root vegetables,onions,hard cheese,frozen vegetables,,,,
2025-10-16T11:23:00,herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,
2025-10-16T11:24:00,bottled water,,,,,,,
2025-10-16T11:25:00,sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent,
2025-10-16T11:26:00,coffee,newspapers,,,,,,
2025-10-16T11:27:00,pork,other vegetables,whipped/sour cream,,,,,
2025-10-16T11:28:00,berries,yogurt,,,,,,
2025-10-16T11:29:00,soda,,,,,,,
2025-10-16T11:30:00,berries,,,,,,,
2025-10-16T11:31:00,fruit/vegetable juice,salty snack,candles,,,,,
2025-10-16T11:32:00,citrus fruit,butter milk,yogurt,cream cheese,,,,
2025-10-16T11:33:00,pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee
2025-10-16T11:34:00,detergent,,,,,,,
2025-10-16T11:35:00,grapes,photo/film,,,,,,
2025-10-16T11:36:00,sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles
2025-10-16T11:37:00,chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta
2025-10-16T11:38:00,whole milk,yogurt,brown bread,,,,,
2025-10-16T11:39:00,citrus fruit,tropical fruit,,,,,,
2025-10-16T11:40:00,soda,misc. beverages,,,,,,
2025-10-16T11:41:00,sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar
2025-10-16T11:42:00,frankfurter,rolls/buns,bottled water,,,,,
2025-10-16T11:43:00,sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins
2025-10-16T11:44:00,soda,,,,,,,
2025-10-16T11:45:00,rolls/buns,fruit/vegetable juice,,,,,,
2025-10-16T11:46:00,beef,citrus fruit,berries,root vegetables,brown bread,detergent,,
2025-10-16T11:47:00,whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags,
2025-10-16T11:48:00,processed cheese,,,,,,,
2025-10-16T11:49:00,tropical fruit,pip fruit,,,,,,
2025-10-16T11:50:00,frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer
2025-10-16T11:51:00,packaged fruit/vegetables,bottled water,,,,,,
2025-10-16T11:52:00,whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers
2025-10-16T11:53:00,berries,whipped/sour cream,,,,,,
2025-10-16T11:54:00,citrus fruit,berries,UHT-milk,processed cheese,,,,
2025-10-16T11:55:00,tropical fruit,whole milk,yogurt,,,,,
2025-10-16T11:56:00,hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine,,
2025-10-16T11:57:00,hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes,
2025-10-16T11:58:00,whole milk,cream cheese,soda,,,,,
2025-10-16T11:59:00,fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags
2025-10-16T12:00:00,frankfurter,sausage,long life bakery product,waffles,,,,
2025-10-16T12:01:00,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,
2025-10-16T12:02:00,pastry,soda,,,,,,
2025-10-16T12:03:00,other vegetables,red/blush wine,,,,,,
2025-10-16T12:04:00,misc. beverages,,,,,,,
2025-10-16T12:05:00,frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese
2025-10-16T12:06:00,sparkling wine,,,,,,,
2025-10-16T12:07:00,specialty bar,,,,,,,
2025-10-16T12:08:00,sausage,butter milk,rolls/buns,,,,,
2025-10-16T12:09:00,curd cheese,,,,,,,
2025-10-16T12:10:00,frankfurter,dessert,,,,,,
2025-10-16T12:11:00,whole milk,yogurt,beverages,brown bread,shopping bags,,,
2025-10-16T12:12:00,newspapers,,,,,,,
2025-10-16T12:13:00,berries,soda,,,,,,
2025-10-16T12:14:00,curd,flour,liquor (appetizer),,,,,
2025-10-16T12:15:00,tropical fruit,other vegetables,coffee,,,,,
2025-10-16T12:16:00,soda,,,,,,,
2025-10-16T12:17:00,rolls/buns,Instant food products,,,,,,
2025-10-16T12:18:00,canned beer,,,,,,,
2025-10-16T12:19:00,canned beer,,,,,,,
2025-10-16T12:20:00,frankfurter,sausage,whole milk,rolls/buns,margarine,,,
2025-10-16T12:21:00,other vegetables,misc. beverages,canned beer,,,,,
2025-10-16T12:22:00,whole milk,frozen vegetables,,,,,,
2025-10-16T12:23:00,whole milk,,,,,,,
2025-10-16T12:24:00,citrus fruit,butter,cream cheese,white bread,oil,margarine,newspapers,
2025-10-16T12:25:00,frankfurter,rolls/buns,,,,,,
2025-10-16T12:26:00,frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns
2025-10-16T12:27:00,butter milk,yogurt,honey,soda,detergent,,,
2025-10-16T12:28:00,hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,
2025-10-16T12:29:00,pasta,popcorn,,,,,,
2025-10-16T12:30:00,other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags,,
2025-10-16T12:31:00,sausage,pork,citrus fruit,dessert,white bread,dishes,candles,
2025-10-16T12:32:00,rolls/buns,,,,,,,
2025-10-16T12:33:00,grapes,other vegetables,curd,dessert,yogurt,napkins,,
2025-10-16T12:34:00,root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice
2025-10-16T12:35:00,coffee,shopping bags,,,,,,
2025-10-16T12:36:00,popcorn,,,,,,,
2025-10-16T12:37:00,whole milk,rolls/buns,sugar,bottled water,soda,,,
2025-10-16T12:38:00,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products,,,
2025-10-16T12:39:00,beef,herbs,flour,cling film/bags,flower soil/fertilizer,,,
2025-10-16T12:40:00,whole milk,butter,dessert,rolls/buns,,,,
2025-10-16T12:41:00,frankfurter,soda,chewing gum,,,,,
2025-10-16T12:42:00,tropical fruit,specialty cheese,bottled water,,,,,
2025-10-16T12:43:00,canned beer,,,,,,,
2025-10-16T12:44:00,finished products,other vegetables,frozen vegetables,bottled beer,,,,
2025-10-16T12:45:00,beverages,soda,,,,,,
2025-10-16T12:46:00,hamburger meat,root vegetables,whole milk,,,,,
2025-10-16T12:47:00,whole milk,pastry,long life bakery product,,,,,
2025-10-16T12:48:00,finished products,white wine,shopping bags,,,,,
2025-10-16T12:49:00,other vegetables,,,,,,,
2025-10-16T12:50:00,ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer
2025-10-16T12:51:00,other vegetables,,,,,,,
2025-10-16T12:52:00,curd,butter milk,cocoa drinks,salty snack,popcorn,,,
2025-10-16T12:53:00,bottled beer,,,,,,,
2025-10-16T12:54:00,curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags
2025-10-16T12:55:00,whole milk,cream cheese,cereals,dog food,,,,
2025-10-16T12:56:00,whole milk,salt,,,,,,
2025-10-16T12:57:00,dessert,ice cream,,,,,,
2025-10-16T12:58:00,sausage,soft cheese,coffee,,,,,
2025-10-16T12:59:00,other vegetables,bottled water,waffles,dishes,shopping bags,,,
2025-10-16T13:00:00,ham,whole milk,rolls/buns,,,,,
2025-10-16T13:01:00,other vegetables,ice cream,,,,,,
2025-10-16T13:02:00,other vegetables,bottled water,,,,,,
2025-10-16T13:03:00,soda,bottled beer,white wine,prosecco,,,,
2025-10-16T13:04:00,herbs,candy,,,,,,
2025-10-16T13:05:00,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter
2025-10-16T13:06:00,rolls/buns,canned beer,,,,,,
2025-10-16T13:07:00,curd,cream cheese,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags,
2025-10-16T13:08:00,frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags,,
2025-10-16T13:09:00,other vegetables,,,,,,,
2025-10-16T13:10:00,dog food,,,,,,,
2025-10-16T13:11:00,specialty bar,,,,,,,
2025-10-16T13:12:00,curd,salt,liquor (appetizer),detergent,shopping bags,,,
2025-10-16T13:13:00,frankfurter,rolls/buns,,,,,,
2025-10-16T13:14:00,soda,,,,,,,
2025-10-16T13:15:00,beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread,
2025-10-16T13:16:00,canned beer,,,,,,,
2025-10-16T13:17:00,pork,beef,pip fruit,herbs,spices,,,
2025-10-16T13:18:00,frankfurter,citrus fruit,UHT-milk,margarine,sugar,,,
2025-10-16T13:19:00,sausage,bottled beer,liquor (appetizer),,,,,
2025-10-16T13:20:00,canned beer,,,,,,,
2025-10-16T13:21:00,specialty chocolate,,,,,,,
2025-10-16T13:22:00,curd,rolls/buns,,,,,,
2025-10-16T13:23:00,canned beer,,,,,,,
2025-10-16T13:24:00,whole milk,bottled water,newspapers,,,,,
2025-10-16T13:25:00,rolls/buns,chewing gum,,,,,,
2025-10-16T13:26:00,pork,root vegetables,other vegetables,whole milk,dishes,,,
2025-10-16T13:27:00,citrus fruit,pastry,,,,,,
2025-10-16T13:28:00,potted plants,,,,,,,
2025-10-16T13:29:00,rolls/buns,pastry,soda,,,,,
2025-10-16T13:30:00,butter,yogurt,bottled water,soda,make up remover,hygiene articles,,
2025-10-16T13:31:00,condensed milk,sugar,coffee,shopping bags,,,,
2025-10-16T13:32:00,sausage,other vegetables,yogurt,soda,shopping bags,,,
2025-10-16T13:33:00,whole milk,beverages,UHT-milk,soda,,,,
2025-10-16T13:34:00,sausage,pork,beef,whole milk,rolls/buns,margarine,,
2025-10-16T13:35:00,beverages,,,,,,,
2025-10-16T13:36:00,beverages,specialty bar,,,,,,
2025-10-16T13:37:00,bottled water,fruit/vegetable juice,,,,,,
2025-10-16T13:38:00,newspapers,,,,,,,
2025-10-16T13:39:00,cleaner,female sanitary products,,,,,,
2025-10-16T13:40:00,sausage,soda,newspapers,shopping bags,,,,
2025-10-16T13:41:00,newspapers,,,,,,,
2025-10-16T13:42:00,sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages
2025-10-16T13:43:00,misc. beverages,newspapers,,,,,,
2025-10-16T13:44:00,white wine,,,,,,,
2025-10-16T13:45:00,sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags,,
2025-10-16T13:46:00,meat,curd,bottled beer,cake bar,,,,
2025-10-16T13:47:00,frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags
2025-10-16T13:48:00,ice cream,rolls/buns,canned beer,,,,,
2025-10-16T13:49:00,canned beer,,,,,,,
2025-10-16T13:50:00,tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags,,
2025-10-16T13:51:00,meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese
2025-10-16T13:52:00,whole milk,mustard,bottled water,,,,,
2025-10-16T13:53:00,sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)
2025-10-16T13:54:00,frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack
2025-10-16T13:55:00,meat,other vegetables,butter,rolls/buns,,,,
2025-10-16T13:56:00,root vegetables,beverages,Instant food products,pickled vegetables,detergent,,,
2025-10-16T13:57:00,root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns,,
2025-10-16T13:58:00,whole milk,whipped/sour cream,semi-finished bread,margarine,,,,
2025-10-16T13:59:00,citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns
2025-10-16T14:00:00,citrus fruit,curd,pastry,margarine,sugar,candy,newspapers,
2025-10-16T14:01:00,other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins
2025-10-16T14:02:00,citrus fruit,whole milk,rolls/buns,,,,,
2025-10-16T14:03:00,sausage,oil,hygiene articles,napkins,,,,
2025-10-16T14:04:00,frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert
2025-10-16T14:05:00,hard cheese,rolls/buns,bottled water,newspapers,,,,
2025-10-16T14:06:00,cream cheese,rolls/buns,soda,chocolate,,,,
2025-10-16T14:07:00,turkey,beef,frozen vegetables,dishes,photo/film,,,
2025-10-16T14:08:00,pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags,,
2025-10-16T14:09:00,whole milk,beverages,,,,,,
2025-10-16T14:10:00,rolls/buns,soda,,,,,,
2025-10-16T14:11:00,sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water
2025-10-16T14:12:00,ice cream,,,,,,,
2025-10-16T14:13:00,liquor,,,,,,,
2025-10-16T14:14:00,pip fruit,other vegetables,fruit/vegetable juice,,,,,
2025-10-16T14:15:00,root vegetables,other vegetables,yogurt,,,,,
2025-10-16T14:16:00,soda,,,,,,,
2025-10-16T14:17:00,soda,,,,,,,
2025-10-16T14:18:00,sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water
2025-10-16T14:19:00,root vegetables,whole milk,pet care,detergent,,,,
2025-10-16T14:20:00,pork,berries,root vegetables,other vegetables,pastry,specialty bar,,
2025-10-16T14:21:00,pork,,,,,,,
2025-10-16T14:22:00,chocolate,,,,,,,
2025-10-16T14:23:00,fruit/vegetable juice,,,,,,,
2025-10-16T14:24:00,pickled vegetables,coffee,,,,,,
2025-10-16T14:25:00,bottled water,,,,,,,
2025-10-16T14:26:00,frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices,
2025-10-16T14:27:00,tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups
2025-10-16T14:28:00,canned beer,,,,,,,
2025-10-16T14:29:00,root vegetables,,,,,,,
2025-10-16T14:30:00,meat,citrus fruit,berries,root vegetables,whole milk,soda,,
2025-10-16T14:31:00,frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles,,,
2025-10-16T14:32:00,tropical fruit,margarine,rum,,,,,
2025-10-16T14:33:00,tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles
2025-10-16T14:34:00,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese,domestic eggs,brown bread
2025-10-16T14:35:00,hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread
2025-10-16T14:36:00,chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns
2025-10-16T14:37:00,chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns,
2025-10-16T14:38:00,frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda
2025-10-16T14:39:00,canned beer,,,,,,,
2025-10-16T14:40:00,turkey,pip fruit,salad dressing,pastry,,,,
2025-10-16T14:41:00,packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables
2025-10-16T14:42:00,pasta,,,,,,,
2025-10-16T14:43:00,citrus fruit,tropical fruit,,,,,,
2025-10-16T14:44:00,sausage,whole milk,yogurt,rolls/buns,brown bread,potted plants,,
2025-10-16T14:45:00,whole milk,frozen meals,pastry,fruit/vegetable juice,waffles,,,
2025-10-16T14:46:00,canned beer,,,,,,,
2025-10-16T14:47:00,citrus fruit,sugar,sauces,,,,,
2025-10-16T14:48:00,liquor (appetizer),,,,,,,
2025-10-16T14:49:00,citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags,,,
2025-10-16T14:50:00,sausage,,,,,,,
2025-10-16T14:51:00,chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins
2025-10-16T14:52:00,hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour
2025-10-16T14:53:00,sausage,pork,other vegetables,dessert,yogurt,oil,soda,
2025-10-16T14:54:00,beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner,,
2025-10-16T14:55:00,citrus fruit,packaged fruit/vegetables,yogurt,bottled water,,,,
2025-10-16T14:56:00,UHT-milk,coffee,,,,,,
2025-10-16T14:57:00,candy,,,,,,,
2025-10-16T14:58:00,newspapers,,,,,,,
2025-10-16T14:59:00,beef,citrus fruit,other vegetables,yogurt,,,,
2025-10-16T15:00:00,sausage,rolls/buns,,,,,,
2025-10-16T15:01:00,frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns
2025-10-16T15:02:00,canned beer,,,,,,,
2025-10-16T15:03:00,bottled beer,,,,,,,
2025-10-16T15:04:00,onions,soda,chewing gum,chocolate,newspapers,,,
2025-10-16T15:05:00,tropical fruit,packaged fruit/vegetables,cream cheese,white bread,candy,,,
2025-10-16T15:06:00,bottled water,white wine,,,,,,
2025-10-16T15:07:00,beef,white bread,pastry,pasta,soap,,,
2025-10-16T15:08:00,sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner
2025-10-16T15:09:00,hair spray,,,,,,,
2025-10-16T15:10:00,chicken,whole milk,spices,long life bakery product,shopping bags,,,
2025-10-16T15:11:00,pork,citrus fruit,brown bread,pastry,sugar,cat food,,
2025-10-16T15:12:00,ice cream,,,,,,,
2025-10-16T15:13:00,meat,hard cheese,bottled beer,,,,,
2025-10-16T15:14:00,other vegetables,yogurt,brown bread,instant coffee,,,,
2025-10-16T15:15:00,bottled water,cake bar,,,,,,
2025-10-16T15:16:00,tropical fruit,soda,salty snack,,,,,
2025-10-16T15:17:00,photo/film,,,,,,,
2025-10-16T15:18:00,sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes,
2025-10-16T15:19:00,grapes,root vegetables,,,,,,
2025-10-16T15:20:00,domestic eggs,brown bread,photo/film,,,,,
2025-10-16T15:21:00,rolls/buns,canned fish,canned beer,,,,,
2025-10-16T15:22:00,tropical fruit,whole milk,,,,,,
2025-10-16T15:23:00,chicken,,,,,,,
2025-10-16T15:24:00,frankfurter,other vegetables,yogurt,brown bread,bottled water,,,
2025-10-16T15:25:00,berries,root vegetables,other vegetables,curd,butter milk,cream cheese,roll products,margarine
2025-10-16T15:26:00,margarine,hygiene articles,,,,,,
2025-10-16T15:27:00,tropical fruit,yogurt,rolls/buns,soda,shopping bags,,,
2025-10-16T15:28:00,ham,other vegetables,whipped/sour cream,hard cheese,rolls/buns,soda,misc. beverages,chocolate
2025-10-16T15:29:00,hamburger meat,white bread,salty snack,,,,,
2025-10-16T15:30:00,yogurt,mayonnaise,rolls/buns,soda,napkins,,,
2025-10-16T15:31:00,soda,specialty chocolate,,,,,,
2025-10-16T15:32:00,yogurt,,,,,,,
2025-10-16T15:33:00,soda,,,,,,,
2025-10-16T15:34:00,bottled water,,,,,,,
2025-10-16T15:35:00,sausage,meat,hamburger meat,rubbing alcohol,,,,
2025-10-16T15:36:00,citrus fruit,pip fruit,beverages,hard cheese,pet care,soda,fruit/vegetable juice,waffles
2025-10-16T15:37:00,shopping bags,,,,,,,
2025-10-16T15:38:00,newspapers,,,,,,,
2025-10-16T15:39:00,frankfurter,other vegetables,whole milk,curd,frozen potato products,zwieback,specialty bar,dish cleaner
2025-10-16T15:40:00,sausage,citrus fruit,whole milk,canned beer,,,,
2025-10-16T15:41:00,frankfurter,rolls/buns,,,,,,
2025-10-16T15:42:00,salt,salty snack,cookware,,,,,
2025-10-16T15:43:00,oil,,,,,,,
2025-10-16T15:44:00,curd,beverages,cream cheese,rolls/buns,pastry,soda,cake bar,chewing gum
2025-10-16T15:45:00,other vegetables,butter,specialty chocolate,,,,,
2025-10-16T15:46:00,citrus fruit,,,,,,,
2025-10-16T15:47:00,frankfurter,whole milk,butter milk,,,,,
2025-10-16T15:48:00,root vegetables,whole milk,butter,processed cheese,mayonnaise,salty snack,,
2025-10-16T15:49:00,tropical fruit,whole milk,frozen meals,bottled beer,,,,
2025-10-16T15:50:00,beef,hamburger meat,pip fruit,,,,,
2025-10-16T15:51:00,berries,whipped/sour cream,cereals,waffles,shopping bags,,,
2025-10-16T15:52:00,canned beer,,,,,,,
2025-10-16T15:53:00,whipped/sour cream,canned beer,red/blush wine,,,,,
2025-10-16T15:54:00,root vegetables,domestic eggs,margarine,chocolate marshmallow,candy,,,
2025-10-16T15:55:00,whole milk,soda,,,,,,
2025-10-16T15:56:00,beef,,,,,,,
2025-10-16T15:57:00,frozen vegetables,,,,,,,
2025-10-16T15:58:00,rolls/buns,bottled beer,,,,,,
2025-10-16T15:59:00,whole milk,hygiene articles,,,,,,
2025-10-16T16:00:00,whole milk,,,,,,,
2025-10-16T16:01:00,citrus fruit,whole milk,curd,soft cheese,,,,
2025-10-16T16:02:00,pastry,fruit/vegetable juice,,,,,,
2025-10-16T16:03:00,frankfurter,sausage,pork,pip fruit,butter,processed cheese,white bread,brown bread
2025-10-16T16:04:00,tropical fruit,root vegetables,whole milk,whipped/sour cream,domestic eggs,,,
2025-10-16T16:05:00,frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins,
2025-10-16T16:06:00,berries,root vegetables,other vegetables,packaged fruit/vegetables,whole milk,curd,curd cheese,cat food
2025-10-16T16:07:00,rolls/buns,brown bread,pastry,coffee,bottled beer,,,
2025-10-16T16:08:00,root vegetables,packaged fruit/vegetables,curd,dessert,frozen vegetables,specialty fat,coffee,
2025-10-16T16:09:00,yogurt,,,,,,,
2025-10-16T16:10:00,other vegetables,bottled water,,,,,,
2025-10-16T16:11:00,berries,white bread,,,,,,
2025-10-16T16:12:00,berries,coffee,,,,,,
2025-10-16T16:13:00,other vegetables,butter milk,frozen meals,bottled water,,,,
2025-10-16T16:14:00,rolls/buns,newspapers,,,,,,
